标题,链接,封面图,发布时间,内容类型,简介,来源,内容ID,视频时长
[我爱世界杯]墨西哥队抵达赛场并开始赛前热身,https://sports.cctv.com/2026/06/12/VIDE4V1TGuMEFDGeJetxadLf260612.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/12/f6215e7842b94366b2644617efca1a58-62223145-0.jpg,,视频,2026年美加墨世界杯揭幕战即将在墨西哥城打响，墨西哥队抵达赛场并开始赛前热身。,央视网,VIDE4V1TGuMEFDGeJetxadLf260612,
[世界杯]开幕式：夏奇拉重返世界杯！演唱《Dai Dai》,https://sports.cctv.com/2026/06/12/VIDE00goV9oMyry9rdBeNSBB260612.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/12/9f890ce87f474e9a8836ec73ce5595d0-1.jpg,,视频,央视网消息：2026年美加墨世界杯开幕式上，夏奇拉演唱主题曲《Dai Dai》。,央视网,VIDE00goV9oMyry9rdBeNSBB260612,
[图]金杯现身！2026美加墨世界杯开幕式举行,https://sports.cctv.com/2026/06/12/PHOAbFzunMBDUSdukezxcFDw260612.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/12/2026061202322696470.jpg,,图集,央视网消息：当地时间6月11日11时30分许，2026美加墨世界杯开幕式在墨西哥城体育场举行。,央视网,PHOAbFzunMBDUSdukezxcFDw260612,
[世界杯]开幕式：金色球体变为大力神杯,https://sports.cctv.com/2026/06/12/VIDEDr5mBRkajZxv7So1E9o1260612.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/12/2026061202443941676.jpg,,视频,央视网消息：2026年美加墨世界杯开幕式上，金色球体变为大力神杯。,央视网,VIDEDr5mBRkajZxv7So1E9o1260612,
[我爱世界杯]墨西哥队到达墨西哥城体育场,https://sports.cctv.com/2026/06/12/VIDEI5Rv33qqM1xASOqLIW5d260612.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/12/72142fc40dee4ae09c94b6433c747d4b-1.jpg,,视频,2026年美加墨世界杯揭幕战即将在墨西哥城打响，墨西哥队到达墨西哥城体育场。,央视网,VIDEI5Rv33qqM1xASOqLIW5d260612,
[我爱世界杯]南非队到达墨西哥城体育场,https://sports.cctv.com/2026/06/12/VIDExV5rnP1YRWqdnlocnIu8260612.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/12/850a5442b61e42a19948b872d482c70b-1.jpg,,视频,2026年美加墨世界杯揭幕战即将在墨西哥城打响，南非队到达墨西哥城体育场。,央视网,VIDExV5rnP1YRWqdnlocnIu8260612,
[我爱世界杯]墨西哥城即将迎来世界杯揭幕战,https://sports.cctv.com/2026/06/12/VIDEF4czCb1dL8eMGAyFq8BH260612.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/12/90ec693c8b61485b814bae9b0999625f-62222925-0.jpg,,视频,2026年美加墨世界杯揭幕战即将在墨西哥城打响，让我们跟随镜头一起去揭开这座城市的“神秘面纱”。,央视网,VIDEF4czCb1dL8eMGAyFq8BH260612,
[世界杯]绿茵热潮·城市故事 墨西哥城,https://sports.cctv.com/2026/06/12/VIDENWlg1rGfcqDRiV5WMZK8260612.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/12/f7c532e5334648bfbd84769be526f0ca-62222907-0.jpg,,视频,墨西哥城是一座魅力十足的城市，2026年美加墨世界杯的大幕即将拉开，这里的人们已经做好迎接世界杯的准备。,央视网,VIDENWlg1rGfcqDRiV5WMZK8260612,
[如约而至]20260611 AI预测世界杯,https://sports.cctv.com/2026/06/11/VIDECMKB022GDBBZaXbPTXWa260611.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/11/691ab8251bea49868e37067f1df52630-62222173-2.jpg,,视频,2026年6月11日《如约而至》为您带来：超多世界杯奇闻趣事来袭！有人说自己给梅西种过草；有人说用泡馍换过世界杯门票；还有人自称六岁就拿过三次最佳射手。这故事，一个比一个传奇，一个比一个有意思。本期节目带您品读别样足坛故事。,央视网,VIDECMKB022GDBBZaXbPTXWa260611,
[如约而至]AI预测世界杯 冠军球队是谁？,https://sports.cctv.com/2026/06/11/VIDEG4p0iOMBHnDt2TZ4di1e260611.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/11/71c38e8685234c2fa587988c4dc23f6d-62222023-1.jpg,,视频,2026美加墨世界杯冠军悬念再起，AI大模型上线硬核推演！,央视网,VIDEG4p0iOMBHnDt2TZ4di1e260611,
[如约而至]阎鹤祥现场解说 秒变“语气词大师”,https://sports.cctv.com/2026/06/11/VIDEuQwH1IB9tQ76mbhKAiwa260611.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/11/c414ed66184f4271abb90747276a442c-62221519-0.jpg,,视频,阎鹤祥现场解说英德门线悬案，秒变“语气词大师”！,央视网,VIDEuQwH1IB9tQ76mbhKAiwa260611,
[如约而至]中考冲刺期 贺炜躲在被窝里看世界杯,https://sports.cctv.com/2026/06/11/VIDEakeAlQpLrm7v7LZSlef9260611.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/11/a19cfd9949f244f58c6e3ef96b468dfa-62221057-2.jpg,,视频,贺炜带您重温那些“见不得光”的看球岁月。他坦言，中考冲刺期躲在被窝里看世界杯。,央视网,VIDEakeAlQpLrm7v7LZSlef9260611,
[豪门盛宴]20260611 陈楚生演唱《荒野国王》,https://sports.cctv.com/2026/06/11/VIDEIGbLttNtTj74yFmsI0g2260611.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/11/c6162575411147279f719541adc57a46-62220269-0.jpg,,视频,2026年6月11日《豪门盛宴》为您带来：世界杯“三国”演义；2026年世界杯五大看点；陈楚生现场演唱《荒野国王》等内容。,央视网,VIDEIGbLttNtTj74yFmsI0g2260611,
[豪门盛宴]中国裁判出征世界杯,https://sports.cctv.com/2026/06/11/VIDE3Vp400GnMAHHCnCzu38e260611.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/11/2026061122122877749.jpg,,视频,北京时间5月30日，3名中国裁判员马宁、傅明、周飞前往美国，开启世界杯之旅。,央视网,VIDE3Vp400GnMAHHCnCzu38e260611,
[豪门盛宴]哈兰德领衔2026年世界杯五大“外星人”,https://sports.cctv.com/2026/06/11/VIDELFK0f5zeRbEM79T2ITUj260611.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/11/2026061122113071019.jpg,,视频,哈兰德领衔2026年世界杯五大“外星人”。,央视网,VIDELFK0f5zeRbEM79T2ITUj260611,
[豪门盛宴]墨西哥·1986：马拉多纳书写足坛两大名场面,https://sports.cctv.com/2026/06/11/VIDENdTpvMt0Pd3tsIkXnFYA260611.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/11/2026061122101564916.jpg,,视频,回顾1986年墨西哥世界杯，马拉多纳率领阿根廷队夺冠，并且书写足坛两大名场面。,央视网,VIDENdTpvMt0Pd3tsIkXnFYA260611,
[豪门盛宴]墨西哥·1970：贝利上演天生要强的足球故事,https://sports.cctv.com/2026/06/11/VIDElZvfAzhHGkuW4dm8zreN260611.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/11/2026061122083088911.jpg,,视频,回顾1970年墨西哥世界杯，贝利带领巴西队夺冠，上演天生要强的足球故事。,央视网,VIDElZvfAzhHGkuW4dm8zreN260611,
[豪门盛宴]历届世界杯揭幕战经典,https://sports.cctv.com/2026/06/11/VIDEM2iW8PeAaeVrqOvzWDsM260611.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/11/e5125cd4ec8f4430b630eceecf4a9cd0-62217647-0.jpg,,视频,世界杯揭幕战诞生过诸多经典，一起来回顾一下。,央视网,VIDEM2iW8PeAaeVrqOvzWDsM260611,
[豪门盛宴]陈楚生：继续支持西班牙队,https://sports.cctv.com/2026/06/11/VIDEmgHKKYnLAl89oVVj2aSO260611.shtml,https://p4.img.cctvpic.com/fmspic/2026/06/11/0513bcb292604bceb3cd71ebbc50313e-62217259-2.jpg,,视频,歌手陈楚生做客《豪门盛宴》，他表示会继续支持西班牙，看好西班牙夺冠。,央视网,VIDEmgHKKYnLAl89oVVj2aSO260611,
[豪门盛宴]陈楚生现场演唱《荒野国王》,https://sports.cctv.com/2026/06/11/VIDE9HseFrVkDG5s5AWLava0260611.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/11/71cfaf2d8d6b45e8a3e365a5e17c78cd-62217015-2.jpg,,视频,歌手陈楚生做客《豪门盛宴》演唱歌曲《荒野国王》。,央视网,VIDE9HseFrVkDG5s5AWLava0260611,
[豪门盛宴]世界杯开幕在即 聚焦热门球队备战动态,https://sports.cctv.com/2026/06/11/VIDESbQKCmQQb1gfq2JShED5260611.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/11/94407db155b54de5bcd4fbc2f4d505d9-62216563-2.jpg,,视频,2026年美加墨世界杯开幕在即，聚焦热门球队备战动态，绝代双骄各自备战。,央视网,VIDESbQKCmQQb1gfq2JShED5260611,
[豪门盛宴]冠军大竞猜：张路圈定八大热门 刘越看好西班牙,https://sports.cctv.com/2026/06/11/VIDEd82uNpkxaH3BR1o1NasI260611.shtml,https://p4.img.cctvpic.com/fmspic/2026/06/11/da12dbb62c9d497793204226b866bea2-62216317-1.jpg,,视频,2026年美加墨世界杯开幕在即，谁会夺得最终的冠军。张路圈定八大热门，刘越看好西班牙。,央视网,VIDEd82uNpkxaH3BR1o1NasI260611,
[豪门盛宴]世界杯前方报道团追踪各国动态,https://sports.cctv.com/2026/06/11/VIDEdKi8MflmMrmpzihB3Vkf260611.shtml,https://p4.img.cctvpic.com/fmspic/2026/06/11/1fbbe2e552234b7dbc12685b3fa325b1-62215683-1.jpg,,视频,2026年美加墨世界杯开幕在即，总台前方报道团追踪各国动态。,央视网,VIDEdKi8MflmMrmpzihB3Vkf260611,
[豪门盛宴]2026年世界杯五大看点,https://sports.cctv.com/2026/06/11/VIDEWt3j6Tx18V1OW7o1dDAL260611.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/11/fc84559c14c14b1e93d7f8fb864a5d61-62215171-0.jpg,,视频,2026年世界杯五大看点：老将谢幕，传奇终章；赛事金靴竞争激烈；谁能挑战世界杯总射手王纪录；谁将上演黑马奇迹；大力神杯花落谁家。,央视网,VIDEWt3j6Tx18V1OW7o1dDAL260611,
[豪门盛宴]世界杯“三国”演义,https://sports.cctv.com/2026/06/11/VIDE45sUwVsLvHCZcgwn7DW4260611.shtml,https://p1.img.cctvpic.com/fmspic/2026/06/11/0f57a0dcd1014fe5b2224314bb1d5642-62214531-1.jpg,,视频,2026年美加墨世界杯是世界杯历史上第一次由三个国家联合举办，规模空前。,央视网,VIDE45sUwVsLvHCZcgwn7DW4260611,
[豪门盛宴]我们为什么如此热爱世界杯？,https://sports.cctv.com/2026/06/11/VIDEZjL458IwjuwfWfcwVFtC260611.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/11/34d3ef75388049cf96ccf5cc00bd8742-62214195-0.jpg,,视频,我们为什么如此热爱世界杯？因为世界杯承载着英雄与荣耀；世界杯96年的璀璨历史，我们见证着一代又一代的英雄王者带领自己的民族和国家走向荣耀巅峰。,央视网,VIDEZjL458IwjuwfWfcwVFtC260611,
[足球之夜]一扇眺望世界杯的窗户,https://tv.cctv.com/2026/06/11/VIDEg1UfPKiKIWtkl9l1UaNV260611.shtml,https://p3.img.cctvpic.com/fmspic/2026/06/11/da8eada11fe24e5f91b1ab29b9c6df57-62213529-1.jpg,,视频,中国球迷对世界杯的起始记忆来源于文字和1978年的世界杯转播，其实在更早就有一部电影为足球人打开了一扇世界杯的窗户。,央视网,VIDEg1UfPKiKIWtkl9l1UaNV260611,
[足球之夜]绿茵逐梦 马宁的世界杯征途,https://tv.cctv.com/2026/06/11/VIDEmgio1MF35rVQZJVTbCuD260611.shtml,https://p4.img.cctvpic.com/fmspic/2026/06/11/b7ab75386b424b8d9cd70aee5a9921e3-62212725-1.jpg,,视频,世界杯来了，赛场上除了赞助商广告，唯一能奔跑于赛场的中国元素就只有中国裁判组。马宁的世界里，主裁世界杯的比赛是他最大的执念。,央视网,VIDEmgio1MF35rVQZJVTbCuD260611,
[世界杯]《豪门盛宴》和《我爱世界杯》都来了,https://tv.cctv.com/2026/06/11/VIDE4hLQhqXtVCo28u0kBHmY260611.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/11/9c4bd63bdf8f4171bb3d5cfbe381455e-62210807-1.jpg,,视频,伴随着美加墨世界杯的到来，足球节目《豪门盛宴》和《我爱世界杯》都来了。,央视网,VIDE4hLQhqXtVCo28u0kBHmY260611,
[世界杯]探访休斯敦世界杯球场,https://tv.cctv.com/2026/06/11/VIDEz2L4oH4eIf7Ctm9bmONm260611.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/11/2026061118592047480.jpg,,视频,美加墨世界杯开幕在即，总台记者带您探访休斯敦世界杯球场。,央视网,VIDEz2L4oH4eIf7Ctm9bmONm260611,
[世界杯]又见卡纳瓦罗,https://tv.cctv.com/2026/06/11/VIDEqShtnR3kLNlaAFIm2viJ260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061118472474517.jpg,,视频,乌兹别克斯坦队的大本营设在亚特兰大。在那里，记者又见到卡纳瓦罗。,央视网,VIDEqShtnR3kLNlaAFIm2viJ260611,
[世界杯]世界杯开赛倒计时 墨西哥期待开幕日首胜,https://tv.cctv.com/2026/06/11/VIDERYrKIOOROvFB2B7GFSQK260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061118530311971.jpg,,视频,北京时间6月12日，墨西哥队将与南非队上演本届世界杯的揭幕战，墨西哥队期待开幕日首胜。,央视网,VIDERYrKIOOROvFB2B7GFSQK260611,
【任意球】观赛指南：48队盛宴 6月12日打响揭幕战,https://sports.cctv.com/2026/06/11/ARTINVgcNG7uYC6Rxgwb6NL5260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061117322211181.jpg,,文章,2026年夏天，足球盛宴再度来袭！世界杯历史上首次扩军至48支球队104场精彩对决！横跨39天！本文整合分组、赛程、赛制等核心信息助你轻松解锁这场全球瞩目的体育盛会2026美加墨世界杯将于北京时间2026年6月12日凌晨正式开赛，7月20日落幕，赛事历时39天，涵盖16座举办城市、16座顶级球场，参赛球队从32支扩军至48支，比赛场次从64场增至104场，创下世界杯历史新纪录。CCTV5、5+将直播全部104场比赛，央视网同步直播！（文末一键直达“央视网世界杯专题页”）值得中国球迷关注的是，约70%的比赛集中在北京时间上午6点至11点进行，无需熬夜就能沉浸式感受绿茵激情。具体分组如下：48支球,央视网,ARTINVgcNG7uYC6Rxgwb6NL5260611,
[世界杯]墨西哥阿兹台克体育场做好准备迎接世界杯开幕式和揭幕战,https://tv.cctv.com/2026/06/11/VIDECcymXs7arlf5bTjwSd43260611.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/11/2026061112555991969.jpg,,视频,美加墨世界杯即将开赛，墨西哥阿兹台克体育场已经做好准备迎接世界杯开幕式和揭幕战。,央视网,VIDECcymXs7arlf5bTjwSd43260611,
[世界杯]德国队主帅全家福“靠边站”,https://tv.cctv.com/2026/06/11/VIDEwvakM8Iu2mdysbQdIV5f260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061112532334162.jpg,,视频,北京时间6月10日，德国队拍摄了赛前全家福。,央视网,VIDEwvakM8Iu2mdysbQdIV5f260611,
那个说篮球的和说相声的，凑一块儿了？,https://sports.cctv.com/2026/06/11/ARTIJymAwYacIzz2wWpwhHpo260611.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/11/2026061110552751605.jpg,,文章,于嘉（篮球嘴）＋ 阎鹤祥（相声嘴）＝ ？现场没篮球、没快板、没大褂满场都是……足球？俩人这是……被“踢”出本行了？搞不懂？看看日期！！四年一度，2026美加墨世界杯来了！！！他们攒了个局——《如约而至》专给咱球迷看的节目以“足球+”为核心在全国多个具有深厚足球文化、独特足球故事的特色城市邀请各行各业的资深球迷和跨界嘉宾打造属于“球迷”的第二主场要知道世界杯不仅属于球星更属于每一个为足球心动的普通人节目里有人说自己给梅西种过草有人说自己六岁就荣膺三次最佳射手有人说自己中考前偷偷看世界杯有人说自己用一碗泡馍换来了世界杯门票还有人说……为了看世界杯，和女朋友分了手球迷故事孰真孰假？真实故事里又藏着多,央视网,ARTIJymAwYacIzz2wWpwhHpo260611,
[世界杯]美加墨世界杯开赛派对在洛杉矶举行,https://tv.cctv.com/2026/06/11/VIDEFiZGvZLHWPeyJplEZFS5260611.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/11/2026061108341391781.jpg,,视频,北京时间6月10日，美加墨世界杯开赛派对在洛杉矶举行。,央视网,VIDEFiZGvZLHWPeyJplEZFS5260611,
[世界杯]法国队抵达波士顿,https://tv.cctv.com/2026/06/11/VIDEY2XTKro1InlPKCymSNBr260611.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/11/2026061108294198499.jpg,,视频,美加墨世界杯即将开赛，法国队已经抵达波士顿。,央视网,VIDEY2XTKro1InlPKCymSNBr260611,
[世界杯]探访法国队大本营,https://tv.cctv.com/2026/06/11/VIDEyda0V8UBBJH7twzmCwoL260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061108264698846.jpg,,视频,美加墨世界杯即将开赛，让我们跟随记者一起探访法国队大本营。,央视网,VIDEyda0V8UBBJH7twzmCwoL260611,
[世界杯]德州一切皆大 达拉斯球场揭秘,https://tv.cctv.com/2026/06/11/VIDEFTvAVWbIopgJHG8RgHWM260611.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/11/2026061108284589316.jpg,,视频,美加墨世界杯即将开赛，让我们跟随记者一起探访达拉斯球场。,央视网,VIDEFTvAVWbIopgJHG8RgHWM260611,
[世界杯]高温天气训练 瑞典队蓄势待发,https://tv.cctv.com/2026/06/11/VIDELbokmka0nepb4OIdPegx260611.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/11/2026061108241654787.jpg,,视频,美加墨世界杯即将开赛，瑞典队正在积极备战中。,央视网,VIDELbokmka0nepb4OIdPegx260611,
[世界杯]赛前拍摄全家福 德国队完成美国第二练,https://tv.cctv.com/2026/06/11/VIDE28KUvbp1qRnys1pOxLzl260611.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/11/2026061108192449264.jpg,,视频,北京时间6月10日，德国队拍摄了赛前全家福并完成在美国的第二练。,央视网,VIDE28KUvbp1qRnys1pOxLzl260611,
[世界杯]拉菲尼亚：以攻守平衡追求胜利,https://tv.cctv.com/2026/06/11/VIDE3EZXmtvcfGvtdVelwBap260611.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/11/2026061108170948780.jpg,,视频,美加墨世界杯即将开赛，巴西队拉菲尼亚表示以攻守平衡追求胜利。,央视网,VIDE3EZXmtvcfGvtdVelwBap260611,
[世界杯]安切洛蒂过生日 巴西队轻松备战,https://tv.cctv.com/2026/06/11/VIDEVPG1QvXfAZUyglao5DpP260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061108151983519.jpg,,视频,美加墨世界杯即将开赛，巴西队正积极备战，主帅安切洛蒂也迎来了自己的生日。,央视网,VIDEVPG1QvXfAZUyglao5DpP260611,
[世界杯]克罗地亚队：老将与新秀共谱新篇章,https://tv.cctv.com/2026/06/11/VIDE602gxCKJ3m7tpBW8w90a260611.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/11/2026061108121475476.jpg,,视频,美加墨世界杯即将开赛，本届世界杯克罗地亚队的老将与新秀将共谱新篇章。,央视网,VIDE602gxCKJ3m7tpBW8w90a260611,
[世界杯]克罗地亚抵达华盛顿特区 莫德里奇想摆脱面具,https://tv.cctv.com/2026/06/11/VIDEKRvYpTP66KTwC5y6T8Gw260611.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/11/2026061108105017750.jpg,,视频,美加墨世界杯即将开赛，克罗地亚已经抵达华盛顿特区，莫德里奇希望在比赛中摆脱面具，轻松出战。,央视网,VIDEKRvYpTP66KTwC5y6T8Gw260611,
[世界杯]德国“教头”欲把足球“带回家”,https://tv.cctv.com/2026/06/11/VIDEjszRij0NxOzkR958TSIm260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061108083597631.jpg,,视频,美加墨世界杯即将开赛，英格兰队主教练图赫尔希望将冠军带回去。,央视网,VIDEjszRij0NxOzkR958TSIm260611,
[世界杯]英格兰热身赛3比0战胜哥斯达黎加,https://tv.cctv.com/2026/06/11/VIDEllPLSo9wfLslnwhiFBip260611.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/11/2026061108030198200.jpg,,视频,北京时间6月11日，英格兰在热身赛中3比0战胜哥斯达黎加。,央视网,VIDEllPLSo9wfLslnwhiFBip260611,
[世界杯]葡萄牙：曾经的“伴郎”想“成婚”,https://tv.cctv.com/2026/06/11/VIDEv6b32AGAx6R0yvM47y8W260611.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/11/2026061108035387081.jpg,,视频,美加墨世界杯即将开赛，本届世界杯葡萄牙队的目标就是拿下大力神杯。,央视网,VIDEv6b32AGAx6R0yvM47y8W260611,
[世界杯]葡萄牙队热身赛战胜尼日利亚队,https://tv.cctv.com/2026/06/11/VIDEKOjlAERa6IBjHcjSMQEi260611.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/11/2026061107584084918.jpg,,视频,北京时间6月11日，葡萄牙队在热身赛中战胜尼日利亚队。,央视网,VIDEKOjlAERa6IBjHcjSMQEi260611,
[世界杯]美加墨世界杯网络版权保护行动在京启动,https://tv.cctv.com/2026/06/10/VIDErjhUlRjzd2XEv8pepRsa260610.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/10/2026061019101683728.jpg,,视频,北京时间6月9日，2026年美加墨世界杯网络版权保护行动于北京正式启动。相关各方联手筑牢防护防线，严打侵权行为，守护赛事直播与内容版权。,央视网,VIDErjhUlRjzd2XEv8pepRsa260610,
[世界杯]总台关于第23届国际足联世界杯版权保护的声明,https://tv.cctv.com/2026/06/10/VIDEWw6yhB3YXlGyHeYixNJu260610.shtml,https://p5.img.cctvpic.com/fmspic/2026/06/10/9e69aaba22fb48e2a2658cefe7f3653e-62184537-1.jpg,,视频,北京时间6月10日，中央广播电视总台发布关于第23届国际足联世界杯（美加墨世界杯）版权保护的声明。,央视网,VIDEWw6yhB3YXlGyHeYixNJu260610,
[世界杯]内马尔缺席有球训练 巴西队有序备战,https://tv.cctv.com/2026/06/10/VIDEPiB6Ol8nxTWN4xROkR5Y260610.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/10/2026061019004687377.jpg,,视频,内马尔缺席巴西队本次有球训练，队伍依旧按计划推进世界杯备战。全队训练秩序井然，稳步调整状态迎接赛事。,央视网,VIDEPiB6Ol8nxTWN4xROkR5Y260610,
[世界杯]2026美加墨世界杯F组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDETze9tvh1MtrVpsoQ6WUZ260610.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/10/2026061017432916349.jpg,,视频,2026美加墨世界杯F组小组赛第一轮。,央视网,VIDETze9tvh1MtrVpsoQ6WUZ260610,
[世界杯]2026美加墨世界杯E组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEQnIh7d2YEvQoB6ameInb260610.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/10/2026061017422830549.jpg,,视频,2026美加墨世界杯E组小组赛第一轮。,央视网,VIDEQnIh7d2YEvQoB6ameInb260610,
[世界杯]2026美加墨世界杯D组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDE6mjz4dS0xykI0CMiy4xq260610.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/10/2026061017413048100.jpg,,视频,2026美加墨世界杯D组小组赛第一轮。,央视网,VIDE6mjz4dS0xykI0CMiy4xq260610,
[世界杯]2026美加墨世界杯C组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEAmWLNQiaRwfjl1R75WDM260610.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/10/2026061017564664518.jpg,,视频,2026美加墨世界杯C组小组赛第一轮。,央视网,VIDEAmWLNQiaRwfjl1R75WDM260610,
[世界杯]2026美加墨世界杯K组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEzwRZuLpz5FBXis5DO6uT260610.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/10/2026061017500672693.jpg,,视频,2026美加墨世界杯K组小组赛第一轮。,央视网,VIDEzwRZuLpz5FBXis5DO6uT260610,
[世界杯]2026美加墨世界杯《如约而至》宣传片,https://sports.cctv.com/2026/06/10/VIDEUpXTEjs4ief5ObJZIgjD260610.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/10/2026061017523815575.jpg,,视频,2026美加墨世界杯《如约而至》宣传片。,央视网,VIDEUpXTEjs4ief5ObJZIgjD260610,
[世界杯]2026美加墨世界杯L组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDE3q2qbZA6SUFa9Zc0PACS260610.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/10/2026061017510837256.jpg,,视频,2026美加墨世界杯L组小组赛第一轮。,央视网,VIDE3q2qbZA6SUFa9Zc0PACS260610,
[世界杯]2026美加墨世界杯B组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEu010NugEUDy2Q1YsYG9h260610.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/10/2026061017371517509.jpg,,视频,2026美加墨世界杯B组小组赛第一轮。,央视网,VIDEu010NugEUDy2Q1YsYG9h260610,
[世界杯]2026美加墨世界杯H组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEq9WWcs6rwhtr1iHwrxa3260610.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/10/2026061017474339428.jpg,,视频,2026美加墨世界杯H组小组赛第一轮。,央视网,VIDEq9WWcs6rwhtr1iHwrxa3260610,
[世界杯]2026美加墨世界杯A组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDER2YKKf6WAtq2qGtfGGa2260610.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/10/2026061017355183296.jpg,,视频,2026美加墨世界杯A组小组赛第一轮。,央视网,VIDER2YKKf6WAtq2qGtfGGa2260610,
[世界杯]2026美加墨世界杯I组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEfoVaUCWx7GJgLh14G8AZ260610.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/10/2026061017463086560.jpg,,视频,2026美加墨世界杯I组小组赛第一轮。,央视网,VIDEfoVaUCWx7GJgLh14G8AZ260610,
[世界杯]2026美加墨世界杯J组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEMrWZhx1qFPJYwdgsN5Gv260610.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/10/2026061017485412800.jpg,,视频,2026美加墨世界杯J组小组赛第一轮。,央视网,VIDEMrWZhx1qFPJYwdgsN5Gv260610,
[世界杯]2026美加墨世界杯G组小组赛第一轮,https://sports.cctv.com/2026/06/10/VIDEQnCcb1HFMrRRVtbX1HTM260610.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/10/2026061017450789525.jpg,,视频,2026美加墨世界杯G组小组赛第一轮。,央视网,VIDEQnCcb1HFMrRRVtbX1HTM260610,
[世界杯]16年后 墨西哥、南非揭幕战再相遇,https://tv.cctv.com/2026/06/10/VIDEts8rTcP3CdvFkX3duotA260610.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/10/2026061019173385637.jpg,,视频,2026美加墨世界杯的揭幕战将由墨西哥队迎战南非队，这是16年之后，两队再次在世界杯的揭幕战相遇。,央视网,VIDEts8rTcP3CdvFkX3duotA260610,
